station_code,station_name,line_name
CC13,Serangoon,Circle Line
CC14,Lorong Chuan,Circle Line
CC15,Bishan,Circle Line
CC16,Marymount,Circle Line
CC17,Caldecott,Circle Line
CC19,Botanic Gardens,Circle Line
CC20,Farrer Road,Circle Line
CC21,Holland Village,Circle Line
CC22,Buona Vista,Circle Line
CC23,one-north,Circle Line
CC24,Kent Ridge,Circle Line
CC25,Haw Par Villa,Circle Line
CC26,Pasir Panjang,Circle Line
CC27,Labrador Park,Circle Line
CC28,Telok Blangah,Circle Line
CC29,HarbourFront,Circle Line
CE1,Bayfront,Circle Line Extension
CE2,Marina Bay,Circle Line Extension
DT1,Bukit Panjang,Downtown Line
DT2,Cashew,Downtown Line
DT3,Hillview,Downtown Line
DT5,Beauty World,Downtown Line
DT6,King Albert Park,Downtown Line
DT7,Sixth Avenue,Downtown Line
DT8,Tan Kah Kee,Downtown Line
DT9,Botanic Gardens,Downtown Line
DT10,Stevens,Downtown Line
DT11,Newton,Downtown Line
DT12,Little India,Downtown Line
DT13,Rochor,Downtown Line
DT14,Bugis,Downtown Line
DT15,Promenade,Downtown Line
DT16,Bayfront,Downtown Line
DT17,Downtown,Downtown Line
DT18,Telok Ayer,Downtown Line
DT19,Chinatown,Downtown Line
BP1,Choa Chu Kang,Bukit Panjang LRT
BP2,South View,Bukit Panjang LRT
BP3,Keat Hong,Bukit Panjang LRT
BP4,Teck Whye,Bukit Panjang LRT
BP5,Phoenix,Bukit Panjang LRT
BP6,Bukit Panjang,Bukit Panjang LRT
BP7,Petir,Bukit Panjang LRT
BP8,Pending,Bukit Panjang LRT
BP9,Bangkit,Bukit Panjang LRT
BP10,Fajar,Bukit Panjang LRT
BP11,Segar,Bukit Panjang LRT
BP12,Jelapang,Bukit Panjang LRT
BP13,Senja,Bukit Panjang LRT
BP14,Ten Mile Junction,Bukit Panjang LRT
STC,Sengkang,Sengkang LRT
SE1,Compassvale,Sengkang LRT
SE2,Rumbia,Sengkang LRT
SE3,Bakau,Sengkang LRT
SE4,Kangkar,Sengkang LRT
SE5,Ranggung,Sengkang LRT
SW1,Cheng Lim,Sengkang LRT
SW2,Farmway,Sengkang LRT
SW3,Kupang,Sengkang LRT
SW4,Thanggam,Sengkang LRT
SW5,Fernvale,Sengkang LRT
SW6,Layar,Sengkang LRT
SW7,Tongkang,Sengkang LRT
SW8,Renjong,Sengkang LRT
PTC,Punggol,Punggol LRT
PE1,Cove,Punggol LRT
PE2,Meridian,Punggol LRT
PE3,Coral Edge,Punggol LRT
PE4,Riviera,Punggol LRT
PE5,Kadaloor,Punggol LRT
PE6,Oasis,Punggol LRT
PE7,Damai,Punggol LRT
PW1,Sam Kee,Punggol LRT
PW2,Teck Lee,Punggol LRT
PW3,Punggol Point,Punggol LRT
PW4,Samudera,Punggol LRT
PW5,Nibong,Punggol LRT
PW6,Sumang,Punggol LRT
PW7,Soo Teck,Punggol LRT
